PELAAJA,JOUKKUE,O,M,S,P,R,+,-,+/-,L,L%,kausi
Äijälä Eemil,Jymy,19,19,21,40,32,49,51,-2,197,9.6,2024-2025
Iiskola Heikki,Oilers,15,14,24,38,2,38,21,17,107,13.1,2024-2025
Kainulainen Justus,Oilers,16,21,17,38,12,45,28,17,181,11.6,2024-2025
Salokangas Tiitus,Classic,15,19,17,36,2,38,18,20,73,26.0,2024-2025
Ahola Juuso,KrP,15,16,19,35,0,52,29,23,94,17.0,2024-2025
Hakanen Riku,SPV,18,17,18,35,4,46,33,13,131,13.0,2024-2025
Salmi Markus,Oilers,18,19,15,34,2,42,23,19,108,17.6,2024-2025
Salin Eemeli,Classic,17,17,16,33,0,46,25,21,101,16.8,2024-2025
Laakso Mikko,KrP,15,22,8,30,2,43,27,16,88,25.0,2024-2025
Astala Aaro,Oilers,13,22,8,30,2,35,18,17,124,17.7,2024-2025
Lindroos Yannick,FBC,16,9,20,29,2,34,50,-16,80,11.3,2024-2025
Rantala Joona,KrP,15,16,13,29,0,51,28,23,88,18.2,2024-2025
Lastikka Ville,Classic,19,23,6,29,4,43,34,9,116,19.8,2024-2025
Auvinen Jasper,Indians,18,13,15,28,4,44,24,20,137,9.5,2024-2025
Heikkilä Oskari,Classic,19,11,16,27,10,55,31,24,84,13.1,2024-2025
Viitakoski Valtteri,KrP,16,13,14,27,4,42,19,23,67,19.4,2024-2025
Kovanen Joonatan,KrP,16,13,12,25,4,46,27,19,75,17.3,2024-2025
Vaarala Karri,Jymy,15,18,7,25,4,39,39,0,139,12.9,2024-2025
Niemelä Jere,Indians,18,12,12,24,4,40,26,14,81,14.8,2024-2025
Hyvärinen Luukas,KrP,14,9,14,23,4,45,26,19,64,14.1,2024-2025
Einiö Niko,LASB,17,14,9,23,2,30,52,-22,178,7.9,2024-2025
Vesterinen Waltteri,TPS,18,8,14,22,28,36,23,13,124,6.5,2024-2025
Haukkala Konsta,SPV,17,12,10,22,6,33,27,6,138,8.7,2024-2025
Jalo Eero,FBC,17,14,8,22,16,30,49,-19,71,19.7,2024-2025
Junkkarinen Jonne,Happee,18,6,15,21,2,41,27,14,49,12.2,2024-2025
Eloluoto Lauri,TPS,18,13,8,21,4,36,21,15,92,14.1,2024-2025
Laaksonen Nikolas,FBC,17,10,10,20,2,35,54,-19,82,12.2,2024-2025
Keskinen Juuso,SPV,13,14,6,20,4,33,16,17,92,15.2,2024-2025
Tykkyläinen Konsta,Classic,18,15,5,20,2,48,29,19,64,23.4,2024-2025
Koski Sami,SPV,18,5,14,19,2,29,23,6,39,12.8,2024-2025
Huppunen Jesse-Samuli,Indians,13,6,13,19,0,37,20,17,53,11.3,2024-2025
Hyrkkönen Kim,Happee,17,10,9,19,10,40,26,14,121,8.3,2024-2025
Manninen Jami,Classic,15,11,8,19,2,39,26,13,89,12.4,2024-2025
Äijälä Niklas,Jymy,19,7,11,18,4,38,50,-12,60,11.7,2024-2025
Kakko Tuomas,OLS,19,7,11,18,2,31,31,0,88,8.0,2024-2025
Helin Aaro,Classic,19,8,10,18,2,26,21,5,82,9.8,2024-2025
Lassila Jussi,Jymy,19,12,6,18,6,32,47,-15,73,16.4,2024-2025
Kainulainen Valtteri,Indians,16,12,6,18,6,37,18,19,71,16.9,2024-2025
Vänttilä Kimi,OLS,18,14,4,18,2,33,30,3,60,23.3,2024-2025
Malkavs Jorens,LASB,15,8,9,17,10,28,33,-5,82,9.8,2024-2025
Hietaranta Ville,Classic,18,10,7,17,2,27,18,9,35,28.6,2024-2025
Laasonen Roni,Happee,16,10,7,17,6,27,13,14,59,16.9,2024-2025
Stransky Simon,ErVi,12,8,8,16,20,14,30,-16,70,11.4,2024-2025
Ojala Tuomas,TPS,18,9,7,16,10,37,24,13,97,9.3,2024-2025
Möttönen Juuso,ErVi,17,9,7,16,8,22,44,-22,88,10.2,2024-2025
Karjanlahti Eero,SPV,18,10,6,16,2,30,23,7,41,24.4,2024-2025
Ijäs Eetu,OLS,19,4,11,15,30,32,38,-6,47,8.5,2024-2025
Minkkinen Matti,Happee,17,6,9,15,4,18,22,-4,77,7.8,2024-2025
Lukkari Olli,OLS,19,9,6,15,6,23,41,-18,88,10.2,2024-2025
Havula Tatu,Indians,18,9,6,15,2,39,25,14,59,15.3,2024-2025
Heiska Ville,Happee,14,9,6,15,2,36,22,14,52,17.3,2024-2025
Lehkosuo Otto,Indians,17,11,4,15,4,39,25,14,51,21.6,2024-2025
Laine Olli-Akseli,TPS,18,7,7,14,4,31,19,12,77,9.1,2024-2025
Kauppila Oskari,Jymy,18,10,4,14,10,16,39,-23,37,27.0,2024-2025
Sillanpää Oliver,ErVi,17,13,1,14,4,19,33,-14,64,20.3,2024-2025
Harjula Tuomas,Indians,18,6,7,13,0,37,23,14,29,20.7,2024-2025
Liponen Vili,KrP,15,6,7,13,4,40,21,19,19,31.6,2024-2025
Pelto-Arvo Jukka-Pekka,SPV,18,9,4,13,0,23,14,9,43,20.9,2024-2025
Savela Iiro,OLS,17,10,3,13,10,36,36,0,111,9.0,2024-2025
Repo Juho,SPV,17,6,6,12,0,31,24,7,43,14.0,2024-2025
Junnila Samuli,Indians,17,6,6,12,2,32,20,12,86,7.0,2024-2025
Kilpeläinen Aapo,KrP,15,6,6,12,0,21,11,10,36,16.7,2024-2025
Tuononen verneri,FBC,17,9,3,12,16,21,29,-8,72,12.5,2024-2025
Kauppinen Pyry,TPS,15,9,3,12,4,18,12,6,57,15.8,2024-2025
Eklund Alex,TPS,18,11,1,12,8,20,16,4,49,22.4,2024-2025
Sikkinen Eetu,Classic,18,3,8,11,2,42,24,18,37,8.1,2024-2025
Okkonen Roope,OLS,17,3,8,11,0,32,25,7,42,7.1,2024-2025
Simonen Topias,KrP,16,4,7,11,0,35,21,14,29,13.8,2024-2025
Karppanen Teemu,Classic,18,6,5,11,0,17,12,5,36,16.7,2024-2025
Heikkilä Jeri,SPV,18,6,5,11,2,26,17,9,55,10.9,2024-2025
Pöyhtäri Akseli,FBC,14,6,5,11,28,12,30,-18,43,14.0,2024-2025
Forsman Juuso,FBC,17,8,3,11,8,32,52,-20,121,6.6,2024-2025
Sorvali Eetu,Oilers,17,9,2,11,0,36,18,18,51,17.6,2024-2025
Salminen Toni,Classic,17,4,6,10,0,42,20,22,27,14.8,2024-2025
Ollikainen Aaro,FBC,17,4,6,10,28,18,43,-25,44,9.1,2024-2025
Haataja Elias,TPS,18,5,5,10,2,20,6,14,22,22.7,2024-2025
Suomela Antti,Oilers,16,5,5,10,4,47,28,19,61,8.2,2024-2025
Koskinen Valtteri,FBC,15,5,5,10,0,32,45,-13,36,13.9,2024-2025
Trekse Peteris,Classic,19,6,4,10,4,33,27,6,49,12.2,2024-2025
Auranen Leevi,Indians,18,6,4,10,2,29,20,9,37,16.2,2024-2025
Kuisma Niklas,Happee,16,6,4,10,0,39,19,20,39,15.4,2024-2025
Jonaeson Nico,KrP,15,7,3,10,6,39,32,7,30,23.3,2024-2025
Kekki Juuso,Indians,18,3,6,9,2,19,21,-2,34,8.8,2024-2025
Tammiranta Aaro,SPV,16,3,6,9,4,11,3,8,33,9.1,2024-2025
Tenho Oskari,Jymy,19,4,5,9,0,15,33,-18,100,4.0,2024-2025
Suutari Samuel,LASB,17,5,4,9,0,17,34,-17,37,13.5,2024-2025
Karvonen Valte,KrP,16,5,4,9,2,30,14,16,25,20.0,2024-2025
Pasanen Rasmus,Indians,15,5,4,9,8,25,20,5,32,15.6,2024-2025
Kokko Aaro,Happee,18,6,3,9,2,24,21,3,65,9.2,2024-2025
Karjanlahti Eemeli,SPV,18,6,3,9,10,36,25,11,44,13.6,2024-2025
Sulander Jere,LASB,17,6,3,9,32,21,33,-12,62,9.7,2024-2025
Iiskola Tuomas,Oilers,13,6,3,9,4,27,11,16,48,12.5,2024-2025
Laitila Alpo,Classic,18,1,7,8,0,33,34,-1,23,4.3,2024-2025
Karkulowski Emil,LASB,17,3,5,8,6,22,39,-17,33,9.1,2024-2025
Koistinen Eero,ErVi,16,3,5,8,0,8,13,-5,22,13.6,2024-2025
Haverinen Aaro,OLS,16,3,5,8,2,18,33,-15,26,11.5,2024-2025
Tenhonen Daniel,ErVi,17,4,4,8,2,21,32,-11,63,6.3,2024-2025
Karjula Joona,OLS,16,4,4,8,4,18,28,-10,46,8.7,2024-2025
Ukskoski Otto,ErVi,15,4,4,8,4,11,30,-19,28,14.3,2024-2025
Koivisto Veeti,OLS,15,4,4,8,0,10,13,-3,30,13.3,2024-2025
Markkanen Jami,Happee,14,5,3,8,2,8,8,0,25,20.0,2024-2025
Kilpi Otto,Classic,19,1,6,7,12,44,25,19,35,2.9,2024-2025
Ainoa Luka,KrP,16,2,5,7,2,22,10,12,10,20.0,2024-2025
Kuutsa Eero,FBC,17,3,4,7,0,21,43,-22,45,6.7,2024-2025
Saari Arttu,Jymy,16,3,4,7,6,21,36,-15,23,13.0,2024-2025
Ukkonen Eemil,KrP,15,3,4,7,4,31,21,10,15,20.0,2024-2025
Vähäkangas Johannes,FBC,17,4,3,7,2,19,36,-17,30,13.3,2024-2025
Silvonen Jesper,Oilers,17,4,3,7,4,11,6,5,53,7.5,2024-2025
Hutzli Stefan,Happee,17,4,3,7,2,18,19,-1,44,9.1,2024-2025
Mäenpää Matias,Happee,16,4,3,7,0,14,20,-6,41,9.8,2024-2025
Raappana Atte,LASB,13,4,3,7,18,24,35,-11,34,11.8,2024-2025
Laiti Niko,Happee,13,5,2,7,0,10,12,-2,65,7.7,2024-2025
Rautio Petro,Jymy,19,1,5,6,6,46,47,-1,26,3.8,2024-2025
Vaarala Kalle,Happee,18,1,5,6,0,18,14,4,28,3.6,2024-2025
Latvala Miika,SPV,18,1,5,6,8,35,18,17,19,5.3,2024-2025
Wiander Tommi,ErVi,17,1,5,6,10,18,42,-24,23,4.3,2024-2025
Haudanlampi Tuukka,OLS,18,2,4,6,2,14,25,-11,18,11.1,2024-2025
Jokela Olli,Oilers,17,2,4,6,2,34,20,14,19,10.5,2024-2025
Markkola Markus,Oilers,6,2,4,6,2,15,7,8,26,7.7,2024-2025
Suhanto Eppu,Oilers,18,3,3,6,0,31,26,5,48,6.3,2024-2025
Ordning Aapo,FBC,17,3,3,6,4,16,20,-4,11,27.3,2024-2025
Kotka Timi,Happee,17,3,3,6,0,9,13,-4,28,10.7,2024-2025
Järvinen Perttu,Oilers,17,3,3,6,2,12,12,0,23,13.0,2024-2025
Aarela Ilmari,ErVi,17,3,3,6,0,19,39,-20,45,6.7,2024-2025
Rauhala Jani,Indians,16,3,3,6,28,31,17,14,47,6.4,2024-2025
Jaaranen Dani,KrP,14,3,3,6,6,15,14,1,46,6.5,2024-2025
Salminen Olli,ErVi,15,4,2,6,4,13,15,-2,42,9.5,2024-2025
Roth Anton,Indians,18,5,1,6,4,8,8,0,27,18.5,2024-2025
Juha Josef,ErVi,15,5,1,6,2,8,11,-3,32,15.6,2024-2025
Stenfors Lauri,TPS,12,0,5,5,10,28,10,18,10,0.0,2024-2025
Juuti Jasper,TPS,18,2,3,5,4,10,7,3,19,10.5,2024-2025
Tenhonen Benjamin,ErVi,17,2,3,5,0,11,19,-8,25,8.0,2024-2025
Kallio Matias,FBC,15,2,3,5,2,15,16,-1,16,12.5,2024-2025
Alkki Lauri,KrP,14,2,3,5,10,21,14,7,5,40.0,2024-2025
Rantaniemi Aapo,OLS,12,2,3,5,4,12,14,-2,34,5.9,2024-2025
Kinnunen Teuvo,Happee,7,2,3,5,8,7,6,1,32,6.3,2024-2025
Turigin Teemu,Jymy,19,3,2,5,12,19,37,-18,40,7.5,2024-2025
Lillas Didrik,SPV,18,3,2,5,4,20,11,9,27,11.1,2024-2025
Koljonen Perttu,Happee,18,3,2,5,30,15,20,-5,54,5.6,2024-2025
Uusi-Laitila Santeri,SPV,17,3,2,5,2,37,25,12,36,8.3,2024-2025
Lindfors Santeri,Oilers,17,3,2,5,4,17,22,-5,39,7.7,2024-2025
Penicka Matej,ErVi,16,3,2,5,2,13,27,-14,60,5.0,2024-2025
Palvaila Lauri,LASB,16,3,2,5,0,26,38,-12,39,7.7,2024-2025
Vaarimo Miko,ErVi,10,3,2,5,4,8,9,-1,18,16.7,2024-2025
Ylitalo Eemil,OLS,19,4,1,5,0,10,32,-22,56,7.1,2024-2025
Puntanen Eetu,Jymy,19,4,1,5,8,12,33,-21,52,7.7,2024-2025
Niemelä Oliver,TPS,11,4,1,5,4,7,4,3,15,26.7,2024-2025
Koskinen Joonas,TPS,14,0,4,4,4,14,12,2,20,0.0,2024-2025
Lindfors Jesperi,Oilers,8,0,4,4,0,21,7,14,15,0.0,2024-2025
Lindholm Joonatan,Indians,18,1,3,4,2,23,15,8,18,5.6,2024-2025
Pylväläinen Arttu,Happee,17,1,3,4,2,20,18,2,22,4.5,2024-2025
Arkkila Olli,KrP,6,1,3,4,0,14,5,9,9,11.1,2024-2025
Koivisto Aatu,TPS,18,2,2,4,0,13,16,-3,28,7.1,2024-2025
Autio Janne,SPV,18,2,2,4,4,13,7,6,28,7.1,2024-2025
Niemelä Petri,OLS,16,2,2,4,8,7,19,-12,25,8.0,2024-2025
Lokasaari Aapo,SPV,16,2,2,4,0,8,5,3,21,9.5,2024-2025
Larte Joona,Oilers,15,2,2,4,4,25,13,12,9,22.2,2024-2025
Suominen Marius,FBC,13,2,2,4,2,4,9,-5,11,18.2,2024-2025
Koppanen Joe,FBC,16,3,1,4,0,5,13,-8,22,13.6,2024-2025
Maronen Markus,Indians,11,3,1,4,0,6,4,2,15,20.0,2024-2025
Piskacek Bohumil,ErVi,17,0,3,3,8,14,25,-11,37,0.0,2024-2025
Viitikka Oskari,TPS,16,0,3,3,6,10,6,4,6,0.0,2024-2025
Porttikivi Pietari,LASB,13,0,3,3,4,4,17,-13,16,0.0,2024-2025
Virtanen Viljami,Classic,10,0,3,3,2,5,7,-2,4,0.0,2024-2025
Nissilä Juuso,OLS,17,1,2,3,0,6,10,-4,21,4.8,2024-2025
Mustonen Justus,Oilers,17,1,2,3,2,13,10,3,6,16.7,2024-2025
Lehtonen Eetu,TPS,17,1,2,3,2,16,14,2,15,6.7,2024-2025
Ryytty Valtteri,LASB,16,1,2,3,0,14,26,-12,14,7.1,2024-2025
Luhtala Aatu,Jymy,16,1,2,3,0,17,26,-9,21,4.8,2024-2025
Aho Tuomas,ErVi,14,1,2,3,6,18,25,-7,16,6.3,2024-2025
Salo Tuukka,Classic,18,2,1,3,4,19,16,3,13,15.4,2024-2025
Rautakoura Ville,Indians,17,2,1,3,4,12,16,-4,20,10.0,2024-2025
Jaanus Janne,LASB,16,2,1,3,2,14,36,-22,18,11.1,2024-2025
Salokangas Julius,LASB,10,2,1,3,0,7,21,-14,28,7.1,2024-2025
Kinnunen Olli,KrP,10,2,1,3,4,17,14,3,12,16.7,2024-2025
Pekari Elias,Oilers,18,3,0,3,4,10,12,-2,24,12.5,2024-2025
Wingren Elliot,FBC,16,3,0,3,4,10,16,-6,17,17.6,2024-2025
Kurkikangas Atte,FBC,14,3,0,3,2,16,34,-18,16,18.8,2024-2025
Wikström Roope,Jymy,19,0,2,2,2,8,24,-16,12,0.0,2024-2025
Karjalainen Aki,Jymy,19,0,2,2,0,0,0,0,0,-,2024-2025
Saarela Miko,Jymy,18,0,2,2,6,12,33,-21,13,0.0,2024-2025
Ahola Vili,LASB,17,0,2,2,16,7,26,-19,14,0.0,2024-2025
Huhtakallio Eemeli,Classic,13,0,2,2,0,13,6,7,1,0.0,2024-2025
Paulaharju Simo,KrP,12,0,2,2,6,7,6,1,10,0.0,2024-2025
Seppälä Juho,Oilers,11,0,2,2,2,8,8,0,12,0.0,2024-2025
Tiittala Leo,ErVi,10,0,2,2,0,4,11,-7,16,0.0,2024-2025
Lindstedt Tino,LASB,8,0,2,2,0,6,7,-1,6,0.0,2024-2025
Koskinen Juho,TPS,18,1,1,2,2,13,14,-1,27,3.7,2024-2025
Virrankari Olli-Matti,Happee,17,1,1,2,2,18,19,-1,10,10.0,2024-2025
Nyman Elias,Jymy,17,1,1,2,2,5,19,-14,15,6.7,2024-2025
Mäkimarttunen Saku,LASB,17,1,1,2,4,4,14,-10,34,2.9,2024-2025
Marthaler Mael,LASB,17,1,1,2,0,6,25,-19,16,6.3,2024-2025
Liikka Saku,Jymy,17,1,1,2,0,1,10,-9,10,10.0,2024-2025
Hokkanen Joona,Oilers,16,1,1,2,2,8,6,2,30,3.3,2024-2025
Niemelä Marius,Happee,15,1,1,2,2,8,11,-3,16,6.3,2024-2025
Mertaniemi Väinö,OLS,15,1,1,2,4,10,19,-9,31,3.2,2024-2025
Lamminen Janne,Classic,12,1,1,2,0,12,19,-7,8,12.5,2024-2025
Salminen Sami,LASB,11,1,1,2,0,3,13,-10,14,7.1,2024-2025
Leppäniemi Samuli,Classic,9,1,1,2,0,7,3,4,13,7.7,2024-2025
Pernu Valtteri,Happee,13,2,0,2,0,6,7,-1,8,25.0,2024-2025
Mäenpää Eero,Jymy,9,2,0,2,0,3,5,-2,4,50.0,2024-2025
Aro Konsta,KrP,8,2,0,2,2,5,1,4,8,25.0,2024-2025
Liukkonen Teppo,SPV,18,0,1,1,0,0,0,0,0,-,2024-2025
Kuisma Olli,TPS,18,0,1,1,0,0,0,0,0,-,2024-2025
Kaltiainen Joonas,Indians,18,0,1,1,0,0,0,0,0,-,2024-2025
Holappa Niko-Petteri,OLS,18,0,1,1,0,12,18,-6,3,0.0,2024-2025
Hellsten Rasmus,Oilers,18,0,1,1,0,0,0,0,0,-,2024-2025
Manninen Eetu,Jymy,17,0,1,1,2,6,18,-12,2,0.0,2024-2025
Kriz Lukas,ErVi,17,0,1,1,0,0,0,0,0,-,2024-2025
Ranta Justus,Jymy,14,0,1,1,10,3,13,-10,5,0.0,2024-2025
Harinen Simo,LASB,14,0,1,1,2,1,3,-2,1,0.0,2024-2025
Turula Veli-Pekka,ErVi,13,0,1,1,0,5,10,-5,3,0.0,2024-2025
Helin Vilho,Classic,12,0,1,1,2,12,1,11,10,0.0,2024-2025
Haapala Arttu,Oilers,11,0,1,1,2,5,7,-2,13,0.0,2024-2025
Moislahti Rasmus,FBC,10,0,1,1,0,9,12,-3,0,-,2024-2025
Maksimainen Olli,LASB,9,0,1,1,2,2,15,-13,9,0.0,2024-2025
Palojoki Jooa,ErVi,7,0,1,1,0,4,4,0,9,0.0,2024-2025
Fredriksson Mikael,FBC,5,0,1,1,0,5,9,-4,5,0.0,2024-2025
Dias Lino,FBC,3,0,1,1,0,3,1,2,1,0.0,2024-2025
Vainionpää Markus,Classic,1,0,1,1,0,2,0,2,6,0.0,2024-2025
Kantonen Kasperi,TPS,18,1,0,1,0,2,0,2,3,33.3,2024-2025
Järvikangas Viljami,SPV,18,1,0,1,0,23,11,12,17,5.9,2024-2025
Rantala Peetu,LASB,17,1,0,1,4,8,41,-33,12,8.3,2024-2025
Mustonen Juho,OLS,16,1,0,1,8,3,10,-7,18,5.6,2024-2025
Kosonen Miika,LASB,16,1,0,1,0,2,11,-9,22,4.5,2024-2025
Hakola Jesper,TPS,16,1,0,1,0,4,0,4,4,25.0,2024-2025
Välitalo Anssi,OLS,14,1,0,1,0,2,11,-9,11,9.1,2024-2025
Grönfors Samuli,Happee,13,1,0,1,0,2,2,0,4,25.0,2024-2025
Koivisto Lassi,ErVi,12,1,0,1,0,2,4,-2,14,7.1,2024-2025
Haikola Kai,OLS,11,1,0,1,2,6,9,-3,8,12.5,2024-2025
Laukkanen Jarno,KrP,9,1,0,1,0,9,3,6,7,14.3,2024-2025
Siekkinen Paavo,Happee,7,1,0,1,0,1,2,-1,7,14.3,2024-2025
Harmaala Aatu,LASB,5,1,0,1,0,1,9,-8,29,3.4,2024-2025
Tuominen Sami,FBC,2,1,0,1,0,1,4,-3,1,100.0,2024-2025
Rantaniemi Iiro,OLS,19,0,0,0,0,0,0,0,0,-,2024-2025
Hanousek Martin,Jymy,19,0,0,0,0,0,0,0,0,-,2024-2025
Rintala Toni,Indians,18,0,0,0,0,2,1,1,7,0.0,2024-2025
Panuma Riku,OLS,18,0,0,0,0,0,0,0,0,-,2024-2025
Jokisalo Juuso,Indians,18,0,0,0,0,0,0,0,0,-,2024-2025
Hasu Rasmus,SPV,18,0,0,0,0,0,0,0,0,-,2024-2025
Auvinen Otso,Classic,18,0,0,0,0,0,0,0,0,-,2024-2025
Rehu Santtu,OLS,17,0,0,0,4,8,26,-18,22,0.0,2024-2025
Ojala Touko,ErVi,17,0,0,0,0,0,0,0,0,-,2024-2025
Jääskeläinen Pietari,Happee,17,0,0,0,0,0,0,0,1,0.0,2024-2025
Fälden Oskari,TPS,17,0,0,0,0,0,0,0,0,-,2024-2025
Aaltokallio Miika,Happee,17,0,0,0,0,0,0,0,0,-,2024-2025
Tuomala Miro,KrP,16,0,0,0,0,0,0,0,0,-,2024-2025
Laakso Elmeri,FBC,16,0,0,0,0,0,0,0,1,0.0,2024-2025
Kerola Jacob,ErVi,16,0,0,0,2,3,4,-1,0,-,2024-2025
Tuononen Roni,KrP,15,0,0,0,0,0,0,0,0,-,2024-2025
Pohjonen Santtu,LASB,15,0,0,0,2,0,0,0,0,-,2024-2025
Luukko Joona,Jymy,15,0,0,0,6,4,11,-7,2,0.0,2024-2025
Hämäläinen Miika,FBC,15,0,0,0,2,12,18,-6,5,0.0,2024-2025
Beijar Jens,FBC,15,0,0,0,0,0,0,0,0,-,2024-2025
Laakso Markus,Oilers,14,0,0,0,0,0,0,0,0,-,2024-2025
Honkonen Arttu,SPV,13,0,0,0,0,0,2,-2,2,0.0,2024-2025
Pirhonen Elias,ErVi,12,0,0,0,0,5,8,-3,12,0.0,2024-2025
Kajaala Joona,SPV,11,0,0,0,2,3,3,0,16,0.0,2024-2025
Harjula Eero,Indians,11,0,0,0,0,4,4,0,10,0.0,2024-2025
Forss Onni,Indians,11,0,0,0,0,2,2,0,1,0.0,2024-2025
Toriseva Lassi,Classic,10,0,0,0,0,0,0,0,0,-,2024-2025
Rannanjärvi Jaakko,TPS,10,0,0,0,0,1,1,0,3,0.0,2024-2025
Korhonen Teemu,LASB,10,0,0,0,0,0,0,0,0,-,2024-2025
Järvinen Pasi,LASB,9,0,0,0,0,0,0,0,0,-,2024-2025
Talvitie Ilari,Oilers,8,0,0,0,2,5,6,-1,11,0.0,2024-2025
Peltoniemi Veeti,Classic,8,0,0,0,0,0,0,0,0,-,2024-2025
Ojanperä Aleksi,Jymy,8,0,0,0,0,0,1,-1,2,0.0,2024-2025
Ojala Jani,Jymy,8,0,0,0,2,2,8,-6,6,0.0,2024-2025
Haavisto Aapo,SPV,8,0,0,0,0,0,0,0,0,-,2024-2025
Santanen Mikko,SPV,7,0,0,0,0,7,8,-1,4,0.0,2024-2025
Loponen Eetu,TPS,7,0,0,0,0,2,1,1,1,0.0,2024-2025
Hänninen Arttu,OLS,7,0,0,0,2,3,16,-13,8,0.0,2024-2025
Paajanen Veikko,TPS,6,0,0,0,0,0,1,-1,0,-,2024-2025
Lähdesmäki Lassi,FBC,6,0,0,0,2,0,1,-1,0,-,2024-2025
Juuranto Matias,Oilers,6,0,0,0,0,1,5,-4,8,0.0,2024-2025
Dias Daniel,FBC,6,0,0,0,0,3,14,-11,2,0.0,2024-2025
Tuominen Julius,Happee,5,0,0,0,0,2,0,2,0,-,2024-2025
Salin Luukas,SPV,5,0,0,0,0,0,0,0,0,-,2024-2025
Laatikainen Aleksi,Oilers,5,0,0,0,0,1,3,-2,4,0.0,2024-2025
Kulmala Kasper,TPS,5,0,0,0,0,0,0,0,0,-,2024-2025
Koski Matias,TPS,5,0,0,0,0,2,3,-1,6,0.0,2024-2025
Virolainen Luukas,OLS,4,0,0,0,0,1,1,0,1,0.0,2024-2025
Ruonakangas Riku,OLS,4,0,0,0,0,0,5,-5,5,0.0,2024-2025
Mertsalmi Henri,LASB,4,0,0,0,0,0,1,-1,1,0.0,2024-2025
Jäärni Tuukka,OLS,4,0,0,0,0,0,3,-3,1,0.0,2024-2025
Jyrkiäinen Matti,SPV,4,0,0,0,0,0,0,0,0,-,2024-2025
Hakokorpi Pietu,Oilers,4,0,0,0,0,0,0,0,0,-,2024-2025
Dumpis Markuss,Indians,4,0,0,0,0,1,1,0,2,0.0,2024-2025
Stukans Karlis,KrP,3,0,0,0,0,0,0,0,0,-,2024-2025
Roimela Setti,Indians,3,0,0,0,0,0,0,0,3,0.0,2024-2025
Nykänen Eetu,Oilers,3,0,0,0,0,6,3,3,4,0.0,2024-2025
Niemelä Eetu,Oilers,3,0,0,0,0,0,1,-1,0,-,2024-2025
Junkkari Jonatan,Indians,3,0,0,0,0,0,0,0,1,0.0,2024-2025
Hallbäck Marek,FBC,3,0,0,0,0,0,0,0,0,-,2024-2025
Tuomala Miiko,Happee,2,0,0,0,0,0,0,0,0,-,2024-2025
Römpötti Oula,Happee,2,0,0,0,0,0,2,-2,1,0.0,2024-2025
Kangas Pietu,Happee,2,0,0,0,0,0,0,0,0,-,2024-2025
Hiltunen Aleksi,FBC,2,0,0,0,0,3,0,3,0,-,2024-2025
Corell Matias,Classic,2,0,0,0,0,0,0,0,0,-,2024-2025
Zlesák Ondřej,Oilers,1,0,0,0,0,0,0,0,0,-,2024-2025
Virta Saku,KrP,1,0,0,0,0,0,0,0,0,-,2024-2025
Telkki Axel,ErVi,1,0,0,0,0,0,0,0,0,-,2024-2025
Siira Jami,OLS,1,0,0,0,0,0,0,0,0,-,2024-2025
Saarikko Sami,KrP,1,0,0,0,0,0,0,0,0,-,2024-2025
Nyström Rasmus,Classic,1,0,0,0,0,2,0,2,1,0.0,2024-2025
Mankinen Arttu,TPS,1,0,0,0,0,0,0,0,0,-,2024-2025
Lahti Jere,Indians,1,0,0,0,0,0,0,0,0,-,2024-2025
Karjalainen Joona,LASB,1,0,0,0,0,0,0,0,0,-,2024-2025
Kantola Karo,LASB,1,0,0,0,0,0,0,0,1,0.0,2024-2025
Jaurakkajärvi Esa,OLS,1,0,0,0,0,0,2,-2,0,-,2024-2025
Halmela Teemu,KrP,1,0,0,0,0,1,2,-1,3,0.0,2024-2025
Lastikka Ville,Classic,33,55,36,91,6,111,47,64,241,22.8,2023-2024
Kainulainen Justus,Oilers,33,52,25,77,10,88,53,35,343,15.2,2023-2024
Rantala Joona,KrP,33,43,23,66,20,101,67,34,217,19.8,2023-2024
Hyvärinen Luukas,OLS,33,33,30,63,12,74,67,7,198,16.7,2023-2024
Salin Eemeli,Classic,28,34,29,63,10,93,42,51,184,18.5,2023-2024
Heikkilä Oskari,Classic,32,37,25,62,8,100,41,59,226,16.4,2023-2024
Kovanen Joonatan,KrP,32,29,30,59,0,93,65,28,184,15.8,2023-2024
Laakso Mikko,KrP,33,40,18,58,6,86,65,21,181,22.1,2023-2024
Hakanen Riku,SPV,33,25,31,56,18,83,68,15,227,11.0,2023-2024
Stransky Simon,ErVi,33,27,28,55,32,64,101,-37,163,16.6,2023-2024
Iiskola Heikki,Oilers,28,23,30,53,22,75,33,42,161,14.3,2023-2024
Salo Nico,Classic,27,11,39,50,4,89,36,53,70,15.7,2023-2024
Manninen Jami,Happee,33,23,27,50,12,76,68,8,230,10.0,2023-2024
Äijälä Eemil,Jymy,33,25,25,50,14,53,74,-21,265,9.4,2023-2024
Iiskola Tuomas,Oilers,29,30,20,50,12,80,31,49,136,22.1,2023-2024
Helin Aaro,Classic,33,39,11,50,6,91,45,46,184,21.2,2023-2024
Keskinen Juuso,SPV,27,29,19,48,8,62,46,16,166,17.5,2023-2024
Kainulainen Rasmus,Oilers,28,22,24,46,22,69,30,39,150,14.7,2023-2024
Majer Petr,Indians,33,25,21,46,4,64,26,38,162,15.4,2023-2024
Trekse Peteris,TPS,33,21,24,45,14,81,48,33,135,15.6,2023-2024
