PELAAJA,JOUKKUE,O,M,S,P,R,+,-,+/-,L,L%,kausi
Kotilainen Peter,Happee,7,3,9,12,26,18,8,10,58,5.2,2021-2022
Mustonen Tuomas,SPV,24,4,8,12,12,39,36,3,28,14.3,2021-2022
Lundgren Julius,Karhut,22,4,8,12,4,21,38,-17,40,10.0,2021-2022
Harjula Eero,Indians,26,5,7,12,0,17,18,-1,37,13.5,2021-2022
Juselius Marko,ErVi,24,5,7,12,30,67,52,15,140,3.6,2021-2022
Vaajala Matias,Classic,25,6,6,12,0,29,10,19,42,14.3,2021-2022
Myllymäki Henri,SPV,22,6,6,12,4,26,26,0,39,15.4,2021-2022
Stenberg Henri,Steelers,20,8,4,12,0,42,62,-20,59,13.6,2021-2022
Hautamäki Jaakko,TPS,26,2,9,11,4,36,19,17,14,14.3,2021-2022
Honkaniemi Miikka,Jymy,26,3,8,11,0,33,44,-11,37,8.1,2021-2022
Nivala Tino,LASB,26,7,4,11,2,41,50,-9,88,8.0,2021-2022
Tuominen Julius,Karhut,22,7,4,11,4,25,43,-18,25,28.0,2021-2022
Ruonakangas Riku,OLS,21,7,4,11,6,25,12,13,42,16.7,2021-2022
Henttonen Joni,KrP,20,7,4,11,4,52,31,21,38,18.4,2021-2022
Kauppinen Pyry,Steelers,15,7,4,11,2,29,31,-2,63,11.1,2021-2022
Horttanainen Eemeli,Tiikerit,24,8,3,11,6,22,55,-33,50,16.0,2021-2022
Alkki Lauri,KrP,25,1,9,10,6,40,31,9,15,6.7,2021-2022
woivalin juuso,Steelers,26,2,8,10,2,31,74,-43,33,6.1,2021-2022
Ailio Tuure,Oilers,18,2,8,10,0,25,17,8,18,11.1,2021-2022
Roth Anton,Jymy,19,3,7,10,10,28,47,-19,60,5.0,2021-2022
Koskinen Ossi,Indians,24,4,6,10,16,39,37,2,34,11.8,2021-2022
Palvaila Lauri,LASB,25,5,5,10,8,35,57,-22,35,14.3,2021-2022
Sillanpää Oliver,ErVi,22,6,4,10,4,20,31,-11,71,8.5,2021-2022
Puolakka Joni,LASB,20,6,4,10,8,27,36,-9,26,23.1,2021-2022
Silvonen Jesper,Oilers,17,6,4,10,2,17,4,13,25,24.0,2021-2022
Nykänen Eetu,Indians,26,7,3,10,6,46,40,6,67,10.4,2021-2022
Pesu Eino,Oilers,20,7,3,10,8,17,12,5,43,16.3,2021-2022
Hietaranta Ville,Classic,22,8,2,10,4,19,6,13,39,20.5,2021-2022
Wiander Tommi,OLS,26,1,8,9,10,48,62,-14,37,2.7,2021-2022
Kivilehto Juha,Classic,23,1,8,9,8,61,38,23,20,5.0,2021-2022
Kuisma Niklas,Tiikerit,24,4,5,9,6,34,66,-32,87,4.6,2021-2022
Kotovaara Lassi,Happee,19,4,5,9,8,21,22,-1,14,28.6,2021-2022
Rauhala Jani,Oilers,24,5,4,9,2,29,22,7,70,7.1,2021-2022
Hirsikorpi Mika,OLS,24,5,4,9,8,20,27,-7,61,8.2,2021-2022
Lamminen Kristian,Oilers,17,6,3,9,0,22,14,8,81,7.4,2021-2022
Iiskola Heikki,Oilers,11,6,3,9,24,30,14,16,41,14.6,2021-2022
Hautaoja Markus,Steelers,26,7,2,9,6,20,56,-36,55,12.7,2021-2022
Lehtonen Konsta,LASB,19,7,2,9,4,13,33,-20,42,16.7,2021-2022
Alin Juuso,TPS,25,1,7,8,0,33,35,-2,21,4.8,2021-2022
Lintula Matias,SPV,26,3,5,8,8,41,47,-6,45,6.7,2021-2022
Ruohonen Tatu,Karhut,25,4,4,8,12,35,75,-40,29,13.8,2021-2022
Aarela Ilmari,Happee,25,4,4,8,0,32,30,2,42,9.5,2021-2022
Annila Eetu,Karhut,24,4,4,8,2,13,42,-29,45,8.9,2021-2022
Välitalo Anssi,OLS,23,4,4,8,2,22,32,-10,46,8.7,2021-2022
Puska Perttu,Indians,21,4,4,8,4,17,24,-7,39,10.3,2021-2022
Salonen Ville,Karhut,17,4,4,8,4,26,47,-21,23,17.4,2021-2022
Majalahti Mika,ErVi,23,5,3,8,6,15,48,-33,54,9.3,2021-2022
Kurkikangas Atte,Steelers,22,6,2,8,2,23,55,-32,42,14.3,2021-2022
Tenhonen Daniel,ErVi,15,6,2,8,0,17,18,-1,37,16.2,2021-2022
Karjanlahti Eero,SPV,21,8,0,8,2,21,23,-2,39,20.5,2021-2022
Laine Valtteri,Tiikerit,15,1,6,7,26,15,39,-24,38,2.6,2021-2022
Blomqvist Otto,ErVi,22,2,5,7,4,12,14,-2,14,14.3,2021-2022
Halminen Joni,Karhut,16,2,5,7,2,36,35,1,21,9.5,2021-2022
Aro Konsta,Karhut,15,2,5,7,4,15,19,-4,14,14.3,2021-2022
Kukko Arttu,Jymy,26,3,4,7,4,32,65,-33,25,12.0,2021-2022
Storgårds Erik,Happee,23,3,4,7,2,52,41,11,40,7.5,2021-2022
Viitala Lauri,Happee,21,3,4,7,0,18,14,4,29,10.3,2021-2022
Ragovskis Janis,LASB,20,3,4,7,0,23,35,-12,26,11.5,2021-2022
Laaksonen Nikolas,TPS,19,3,4,7,2,25,19,6,35,8.6,2021-2022
Korhonen Matti,LASB,17,3,4,7,4,25,15,10,39,7.7,2021-2022
Mattila Jere,KrP,16,4,3,7,4,36,22,14,32,12.5,2021-2022
Tikka Juha,Karhut,15,4,3,7,2,8,21,-13,22,18.2,2021-2022
Eklund Emil,KrP,25,5,2,7,8,24,23,1,45,11.1,2021-2022
Rantaniemi Aapo,OLS,21,5,2,7,2,20,32,-12,41,12.2,2021-2022
Mäkinen Jarno,Steelers,19,5,2,7,0,36,53,-17,45,11.1,2021-2022
Aho Tuomas,ErVi,14,6,1,7,12,27,31,-4,38,15.8,2021-2022
Rautio Petro,Jymy,18,0,6,6,0,22,24,-2,10,0.0,2021-2022
Varjokumpu Juuso,LASB,26,1,5,6,4,49,60,-11,38,2.6,2021-2022
Kainulainen Leevi,Steelers,24,1,5,6,6,12,48,-36,25,4.0,2021-2022
rautava vertti,Karhut,21,1,5,6,6,24,53,-29,16,6.3,2021-2022
Hakonen Petri,SPV,18,1,5,6,8,20,17,3,30,3.3,2021-2022
Uusi-Laitila Santeri,SPV,17,1,5,6,6,22,24,-2,33,3.0,2021-2022
Tiira Lauri,OLS,26,2,4,6,0,22,44,-22,23,8.7,2021-2022
Järnfors Valtteri,Tiikerit,25,2,4,6,6,28,75,-47,38,5.3,2021-2022
Kauppila Oskari,Jymy,23,2,4,6,4,8,11,-3,18,11.1,2021-2022
Mäenpää Matias,Jymy,26,3,3,6,8,20,31,-11,41,7.3,2021-2022
Lehto Julius,LASB,24,3,3,6,0,14,29,-15,28,10.7,2021-2022
Aalto Sami,Tiikerit,24,3,3,6,4,13,54,-41,31,9.7,2021-2022
Puntanen Eetu,Jymy,19,3,3,6,4,29,33,-4,43,7.0,2021-2022
Kanervisto Tatu,TPS,13,3,3,6,2,26,8,18,32,9.4,2021-2022
Järvikangas Viljami,Jymy,26,0,5,5,32,37,66,-29,13,0.0,2021-2022
Budde Karri,Tiikerit,26,1,4,5,4,29,71,-42,85,1.2,2021-2022
Santanen Kalle,Karhut,23,1,4,5,6,46,60,-14,27,3.7,2021-2022
Kilpi Otto,Classic,22,1,4,5,4,30,14,16,38,2.6,2021-2022
Lehto Kosti,OLS,18,1,4,5,6,21,28,-7,13,7.7,2021-2022
Tenhonen Benjamin,ErVi,16,1,4,5,0,10,16,-6,17,5.9,2021-2022
Kauppinen Eero,Steelers,13,1,4,5,6,11,26,-15,17,5.9,2021-2022
Virrankari Olli-Matti,OLS,26,2,3,5,0,37,44,-7,15,13.3,2021-2022
Oksanen Jere,Indians,18,2,3,5,0,12,8,4,28,7.1,2021-2022
Jalonen Ossi,ErVi,18,2,3,5,4,38,38,0,35,5.7,2021-2022
Toropainen Santeri,Indians,16,2,3,5,4,20,14,6,33,6.1,2021-2022
Taskinen Olli,Tiikerit,25,3,2,5,4,11,51,-40,24,12.5,2021-2022
Repo Juho,SPV,22,3,2,5,0,20,21,-1,41,7.3,2021-2022
Kallio Emil,Oilers,9,3,2,5,0,10,6,4,14,21.4,2021-2022
Kokljuschkin Mattias,Tiikerit,26,4,1,5,12,16,72,-56,79,5.1,2021-2022
Koistinen Jere,KrP,20,4,1,5,0,9,11,-2,39,10.3,2021-2022
Ylikojola Mikko,Tiikerit,19,4,1,5,4,23,54,-31,29,13.8,2021-2022
Seppälä Vertti,Happee,18,4,1,5,2,11,5,6,8,50.0,2021-2022
Tenho Oskari,KrP,15,4,1,5,2,8,12,-4,19,21.1,2021-2022
Juuti Jasper,Oilers,9,4,1,5,0,8,4,4,9,44.4,2021-2022
Parviainen Valtteri,OLS,7,4,1,5,0,9,9,0,28,14.3,2021-2022
Tamminen Aapo,Karhut,14,0,4,4,0,30,35,-5,10,0.0,2021-2022
Savinainen Kaapo,Happee,25,1,3,4,4,12,16,-4,7,14.3,2021-2022
Pentikäinen Miikka,LASB,25,1,3,4,10,25,55,-30,19,5.3,2021-2022
Latvala Miika,SPV,23,1,3,4,4,25,37,-12,24,4.2,2021-2022
Hiltunen Veeti,Steelers,25,2,2,4,6,13,39,-26,40,5.0,2021-2022
Ranki Ville,Steelers,24,2,2,4,6,19,46,-27,14,14.3,2021-2022
Kolari Aki,Tiikerit,23,2,2,4,0,20,36,-16,16,12.5,2021-2022
Estovirta Tomas,KrP,23,2,2,4,2,30,29,1,43,4.7,2021-2022
Harle Teemu,OLS,21,2,2,4,2,16,25,-9,32,6.3,2021-2022
Santanen Mikko,KrP,18,2,2,4,6,22,14,8,17,11.8,2021-2022
Eklund Alex,ErVi,18,2,2,4,2,4,3,1,10,20.0,2021-2022
Savolainen Sami,KrP,21,3,1,4,0,12,9,3,31,9.7,2021-2022
Lokasaari Aapo,SPV,15,3,1,4,0,19,20,-1,34,8.8,2021-2022
Alatalo Pieti,Steelers,14,3,1,4,4,28,29,-1,28,10.7,2021-2022
Määttä Salomo,Jymy,12,3,1,4,0,13,26,-13,14,21.4,2021-2022
Holappa Niko-Petteri,OLS,23,0,3,3,0,19,30,-11,12,0.0,2021-2022
Jaanus Janne,LASB,19,0,3,3,2,17,33,-16,20,0.0,2021-2022
Hiltunen Aleksi,Steelers,26,1,2,3,12,20,59,-39,22,4.5,2021-2022
Simonen Topias,KrP,17,1,2,3,0,10,13,-3,12,8.3,2021-2022
